ID,Country,City,Phase,Line,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Source2,Reference
8168,CN,Dongguan,,Line 2 Phase 3,2021,2026,0,17.5,97.54%,17.1,0,0,8,,Plan,"11,532",CNY,2019,0.2382,2747.02,157.0,0,0,0,0,Plan,https://baijiahao.baidu.com/s?id=1638089292564878111&wfr=spider&for=pc
8169,CN,Dongguan,Line 3,Line 3 Phase 1,2023,2028,0,50.14,100.00%,50.1,0,0,18,,Plan,"32,178",CNY,2019,0.2382,7665.08,152.9,0,0,0,0,Plan,https://baijiahao.baidu.com/s?id=1638089292564878111&wfr=spider&for=pc
8170,CN,Dongguan,Line 3,Line 3 feeder,2024,2028,0,1.8,100.00%,1.8,0,0,1,,Plan,"1,297",CNY,2019,0.2382,308.96,171.6,0,0,0,0,Plan,https://baijiahao.baidu.com/s?id=1638089292564878111&wfr=spider&for=pc
8171,SA,Riyadh,,Blue,2015,2016,0,38,42.63%,16.2,0,0,22,,Trade,"6,561",USD,2013,1.82,11941.02,314.2,0,0,0,0,Plan,http://www.riyadhmetro.sa/
8176,SA,Riyadh,,Red,2014,2020,0,25.3,0.00%,0.0,0,0,13,,Trade,"2,880",USD,2013,1.82,5241.6,207.2,0,0,0,0,Media,
8177,SA,Riyadh,,Orange,2014,2017,0,40.7,14.00%,5.7,0,0,20,,Trade,"5,002",USD,2013,1.82,9103.64,223.7,0,0,0,0,Media,
8178,SA,Riyadh,,Yellow,2014,2020,0,29.6,0.00%,0.0,0,0,8,,Trade,"2,270",USD,2013,1.82,4131.4,139.6,0,0,0,0,Trade,https://www.fastmetroriyadh.com/about/our-lines/
8179,SA,Riyadh,,Green,2015,2016,0,12.9,93.02%,12.0,0,0,11,,Trade,"2,220",USD,2013,1.82,4040.4,313.2,0,0,0,0,Trade,https://www.fastmetroriyadh.com/ar/%d8%a7%d9%84%d8%ae%d8%b1%d9%8a%d8%b7%d8%a9-2/
8184,SA,Riyadh,,Purple,2014,2019,0,29.9,0.00%,0.0,0,0,6,,Trade,"3,330",USD,2013,1.82,6060.6,202.7,0,0,0,0,Trade,https://www.fastmetroriyadh.com/about/our-lines/
8186,SA,Jeddah,,Jeddah Metro,2014,2025,0,161.1,12.41%,20.0,0,0,81,,Trade,"12,000",USD,2015,1.435,17220,106.9,0,0,0,0,Plan,http://www.metrojeddah.com.sa/page/Metro
8187,SA,Mecca,,Mecca Metro,2009,,,188,,,#N/A,#N/A,90,,,"62,000",SAR,2010,0.616,38192,203.1,0,0,0,0,,
8192,SA,Ad Dammam,,Dammam Metro (a-Sharqiya),2014,,0,50,0.00%,0.0,0,0,,,,"16,000",USD,2010,1.623,25968,519.4,0,0,0,0,,https://www.bncnetwork.net/Project/Dammam_Metro/lLeKWJzyKRk=
8193,QA,Doha,,Doha Metro,2013,2026,0,124,89.92%,111.5,0,0,,,Trade,"36,000",USD,2013,2.5,90000,725.8,0,0,0,0,Media,https://www.railway-technology.com/projects/doha-metro/
8194,BH,Bahrain,,Phase 1 (Red & Blue),2018,2023,1,28.6,0.00%,0.0,0,0,20,,,453,BD,2019,5,2265,79.2,0,0,0,0,Media,https://www.urbantransportnews.com/bahrain-to-finalise-109-km-light-metro-rail-bids-in-march-2020/
8195,BH,Bahrain,,Phase 2,2020,X,1,72.7,0.00%,0.0,0,0,,,,"1,500",BD,2010,5,7500,103.2,0,0,0,0,Media,http://www.tradearabia.com/news/stn_178416.html
8200,AE,Dubai,Red Line,Phase 1 - Red Line,2005,2010,0,35,13.43%,4.7,0,0,29,,Trade,"4,200",USD,2005,1.8,7560,216.0,0,0,0,0,,
8201,AE,Dubai,,Phase 2 - Green Line,2006,2010,0,22.5,35.11%,7.9,0,0,20,,,"3,600",USD,2006,1.9,6840,304.0,0,0,0,0,,
8202,AE,Dubai,Red Line,Phase 3 (Red Line Extension/Route 2020),2016,2020,0,15,21.33%,3.2,0,0,7,,Trade,"2,900",USD,2016,1.9,5510,367.3,0,0,0,0,Media,https://www.railway-technology.com/projects/route-2020-dubai/
8203,EG,Cairo,,Line 1,1982,1987,1,44,14.32%,6.3,0,0,35,,Trade,973,EGP,1987,2.5,2432.5,55.3,0,0,0,0,Media,
8208,EG,Cairo,Line 2,Line 2,1993,2005,0,22,43.18%,9.5,0,0,20,,Trade,"9,700",EGP,2005,1,9700,440.9,0,0,0,0,Media,
8209,EG,Cairo,Line 2,Line 2 Extension,2018,X,1,7,0.00%,0.0,0,0,5,,,,,,,,,0,0,0,0,,
8210,EG,Cairo,Line 3,Line 3 Phase 1,2006,2012,0,4.3,100.00%,4.3,0,0,5,,Trade,"4,200",EGP,2009,0.7142857143,3000,697.7,0,0,0,0,Media,http://english.ahram.org.eg/NewsContent/3/12/35035/Business/Economy/Cairos-rd-underground-line-opens-Tuesday-linking-A.aspx
8211,EG,Cairo,Line 3,Line 3 Phase 2,2009,2014,0,7.2,100.00%,7.2,0,0,4,,Trade,498,EU,2009,,,,0,0,0,0,,
8216,EG,Cairo,Line 3,Line 3 Phase 3,2017,2022,0,11.6,100.00%,11.6,0,0,12,,Trade,0,EU,2016,,,,0,0,0,0,,
8217,EG,Cairo,Line 3,Line 3 Phase 4,2015,2022,0,12.1,79.34%,9.6,0,0,8,,Trade,,,,,,,0,0,0,0,,
8218,EG,Cairo,,Line 4 (4 Phases),2019,X,0,19,,,#N/A,#N/A,17,,,"3,600",USD,2019,3.6,12960,682.1,0,0,0,0,,
8219,EG,Cairo,,Line 5,X,X,0,19,,,#N/A,#N/A,,,,,,,,,,,,,,,
8224,EG,Cairo,,Line 6,2017,X,0,21,65.24%,13.7,0,0,24,,Trade,"4,000",USD,2017,3.1,12400,590.5,0,0,0,0,Media,https://tunnelbuilder.com/News/New-metro-line-6-in-Cairo-deal-signed-.aspx
8225,KW,Kuwait City,,Kuwait Metro,2020,2025,0,160,35.00%,56.0,0,0,68,,Trade,"20,000",USD,2020,1.52,30400,190.0,0,0,0,0,Media,https://www.railjournal.com/passenger/metros/kuwait-announces-details-of-metro-project/
9461,CN,Shanghai,,Line 15,2015,2020,0,42.3,100.00%,42.3,0,0,30,,Media,"47,650",CNY,2014,0.266028199,12676.24368,299.7,0,0,0,0,Media,https://www.wikiwand.com/zh/%E4%B8%8A%E6%B5%B7%E5%9C%B0%E9%93%81; http://jz.docin.com/p-947723260.html
9462,CN,Shanghai,,Line 14,2016,2020,0,38.514,100.00%,38.514,0,0,31,,Media,"57,686",CNY,2013,0.2729,15743.99563,408.8,0,0,0,0,Media,https://max.book118.com/html/2017/0817/128471200.shtm
9467,CN,Shanghai,,Line 16,2010,2014,0,58.96,23.22%,13.69,45.3992,0,,,Media,"18,160",CNY,2010,0.3003905077,5455.091619,92.5,0,0,0,0,Media,https://www.sohu.com/a/134664821_249521; https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A16%E5%8F%B7%E7%BA%BF
9468,CN,Shenzhen,,Line 1 Phase 2,,,0,23.5,77.87%,18.3,3.43,1.975,15,,Plan,"12,126",CNY,,,,,0,0,0,0,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf
9469,CN,Shenzhen,,Line 2,,,0,35.8,100.00%,35.8,0,0,29,,Plan,"17,787",CNY,,,,,0,0,0,0,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf
9470,CN,Shenzhen,Line 3,Line 3,,,0,41.5,44.63%,18.52,23.24,0,30,,Plan,"16,858",CNY,,,,,0,0,0,0,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf
9475,CN,Shenzhen,,Line 4 Phase 2,,,0,15.94,31.93%,5.09,10.9986,0,10,,Plan,"5,799",CNY,,,,,0,0,0,0,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf
9476,CN,Shenzhen,,Line 5,,,0,40.1,89.28%,35.8,4.411,0,27,,Plan,"20,558",CNY,,,,,0,0,0,0,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf
9477,CN,Shenzhen,Line 7,Line 7,,2016,0,30.2,100.00%,30.2,0,0,28,,Plan,"26,876",CNY,,,,,0,0,0,0,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf
9478,CN,Shenzhen,,Line 9,,,0,25.33,100.00%,25.33,0,0,22,,Plan,"22,371",CNY,,,,,0,0,0,0,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf
9483,CN,Shenzhen,Line 11,Line 11 Phase 1,,2016,0,49.7,67.61%,33.6,11.635,4.766,11,,Plan,,CNY,,,,,0,0,0,0,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf
9484,CN,Shenzhen,Line 8,Line 8 Phase 1,2015,2020,0,12.341,100.00%,12.341,0,0,6,,Plan,,CNY,,,,,0,0,0,0,Plan,http://fgw.sz.gov.cn/zwgk/qt/tzgg/201902/P020190226346098115982.pdf
9485,CN,Shenzhen,Line 8,Line 8 Phase 2,,2024,0,8,100.00%,8,0,0,4,,Media,,CNY,,,,,0,0,0,0,Media,https://zh.wikipedia.org/wiki/%E6%B7%B1%E5%9C%B3%E5%9C%B0%E9%93%818%E5%8F%B7%E7%BA%BF
9486,CN,Guangzhou,Line 13,Line 13 Phase 1,2013,2017,0,27.03,100.00%,27.03,0,0,11,,Media,"19,038",CNY,2013,0.2729,5195.960699,192.2,0,0,0,0,Media,http://www.dcement.com/Article/201310/117609.html
